"filename", "language", "JSON", "Markdown", "CSS", "JavaScript JSX", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\date\date.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 6, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropDown.module.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownAccount.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownAccountType.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownActive.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownBrand.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownCategory.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownClient.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 8, 43
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownDeposit.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownMesure.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownMovementType.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownPayType.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownPermits.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownPerson.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownRol.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownStatus.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownSupplier.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 8, 42
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownUbication.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\dropdown\dropdownUser.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 8, 40
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\components\footer\footer.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
